Type,num_part,num_dim,steps,warmup,alpha,energy,kin_en,pot_en,acceptance_rate,time
MonteCarlo,100,3,100000,10000,0.34,162.1662049,50.24991835,111.9162865,0.58218,4296
MonteCarlo,100,3,100000,10000,0.38,155.7548282,56.90342568,98.85140253,0.55957,4574
MonteCarlo,100,3,100000,10000,0.42,152.3819809,62.76931502,89.61266589,0.54172,4242
MonteCarlo,100,3,100000,10000,0.46,150.4970531,69.13568974,81.36136339,0.52185,4600
MonteCarlo,100,3,100000,10000,0.5,150.0000045,74.74292624,75.25707822,0.5041,4522
MonteCarlo,100,3,100000,10000,0.54,150.4230913,80.85023494,69.5728564,0.49002,4219
MonteCarlo,100,3,100000,10000,0.58,151.6765666,87.08310763,64.59345894,0.47325,4295
MonteCarlo,100,3,100000,10000,0.62,153.6401151,93.44687925,60.19323586,0.45776,4587
MonteCarlo,100,3,100000,10000,0.66,156.2350519,99.97840464,56.25664727,0.44488,4274
MonteCarlo,100,3,100000,10000,0.7,159.1604935,106.2027702,52.95772325,0.43156,4488
MonteCarlo,1,3,5000,500,0.3,1.709878605,0.4444432848,1.26543532,0.5984,2
MonteCarlo,1,3,5000,500,0.34,1.61456152,0.508606312,1.105955208,0.584,2
MonteCarlo,1,3,5000,500,0.38,1.557446875,0.5691730236,0.9882738512,0.5622,2
MonteCarlo,1,3,5000,500,0.42,1.514044846,0.6511207756,0.8629240708,0.5476,2
MonteCarlo,1,3,5000,500,0.46,1.504607073,0.6933631072,0.811243966,0.5296,2
MonteCarlo,1,3,5000,500,0.5,1.5,0.7359788029,0.7640211971,0.512,2
MonteCarlo,1,3,5000,500,0.54,1.50476232,0.8122281876,0.6925341327,0.4968,2
MonteCarlo,1,3,5000,500,0.58,1.512154841,0.8528806531,0.6592741876,0.4818,3
MonteCarlo,1,3,5000,500,0.62,1.536006244,0.9333392872,0.6026669568,0.4658,2
MonteCarlo,1,3,5000,500,0.66,1.569303977,1.016103514,0.5532004626,0.4542,2
MonteCarlo,1,3,5000,500,0.7,1.576199321,1.030573613,0.5456257074,0.4324,2
MonteCarlo,5,3,25000,2500,0.3,8.403682787,2.304178432,6.099504355,0.59864,13
MonteCarlo,5,3,25000,2500,0.34,7.99065355,2.613693822,5.376959729,0.57916,15
MonteCarlo,5,3,25000,2500,0.38,7.770399794,2.86888513,4.901514664,0.55816,13
MonteCarlo,5,3,25000,2500,0.42,7.603810909,3.175105377,4.428705532,0.53592,14
MonteCarlo,5,3,25000,2500,0.46,7.514654175,3.512999389,4.001654786,0.52128,14
MonteCarlo,5,3,25000,2500,0.5,7.5,3.86375953,3.63624047,0.50092,13
MonteCarlo,5,3,25000,2500,0.54,7.536229399,4.148184925,3.388044474,0.48528,13
MonteCarlo,5,3,25000,2500,0.58,7.594287333,4.394887254,3.199400079,0.46864,13
MonteCarlo,5,3,25000,2500,0.62,7.694829297,4.709020696,2.9858086,0.45776,14
MonteCarlo,5,3,25000,2500,0.66,7.860582255,5.113521714,2.747060541,0.43948,13
MonteCarlo,5,3,25000,2500,0.7,7.978577781,5.352096302,2.626481478,0.42732,15
MonteCarlo,10,3,50000,5000,0.3,16.8786265,4.568272596,12.3103539,0.60176,30
MonteCarlo,10,3,50000,5000,0.34,16.14888064,5.083254447,11.0656262,0.57794,30
MonteCarlo,10,3,50000,5000,0.38,15.52738399,5.75611507,9.771268923,0.55628,30
MonteCarlo,10,3,50000,5000,0.42,15.19811757,6.372989944,8.82512763,0.53866,30
MonteCarlo,10,3,50000,5000,0.46,15.04682406,6.929479943,8.117344112,0.52152,30
MonteCarlo,10,3,50000,5000,0.5,15,7.612986852,7.387013148,0.50286,30
MonteCarlo,10,3,50000,5000,0.54,15.05780018,8.193618543,6.864181633,0.4869,30
MonteCarlo,10,3,50000,5000,0.58,15.18751384,8.785644155,6.401869683,0.4724,30
MonteCarlo,10,3,50000,5000,0.62,15.36772632,9.355312492,6.012413832,0.45536,30
MonteCarlo,10,3,50000,5000,0.66,15.59326529,9.926866159,5.666399128,0.44148,32
